SZEDUS,SZEDBT,SZEDTN,SZEDLN,SZEDCT,SZTYTN,SZEDFT,SZEDDT,SZDRIN,SZEDDL,SZEDSP,SZPNID,SZTNAC,SZAN8,SZALKY,SZTAX,SZALPH,SZDC,SZMCU,SZSIC,SZLNGP,SZAT1,SZCM,SZTAXC,SZAT2,SZAT3,SZAT4,SZATR,SZAT5,SZATP,SZATPR,SZAB3,SZATE,SZSBLI,SZEFTB,SZAN81,SZAN82,SZAN83,SZAN84,SZAN86,SZAN85,SZAC01,SZAC02,SZAC03,SZAC04,SZAC05,SZAC06,SZAC07,SZAC08,SZAC09,SZAC10,SZAC11,SZAC12,SZAC13,SZAC14,SZAC15,SZAC16,SZAC17,SZAC18,SZAC19,SZAC20,SZAC21,SZAC22,SZAC23,SZAC24,SZAC25,SZAC26,SZAC27,SZAC28,SZAC29,SZAC30,SZGLBA,SZPTI,SZPDI,SZMSGA,SZRMK,SZTXCT,SZTX2,SZALP1,SZURCD,SZURDT,SZURAT,SZURAB,SZURRF,SZMLNM,SZMLN1,SZADD1,SZADD2,SZADD3,SZADD4,SZADDZ,SZCTY1,SZCTR,SZADDS,SZCOUN,SZAR1,SZPH1,SZPHT1,SZAR2,SZPH2,SZPHT2,SZTORG,SZUSER,SZPID,SZJOBN,SZUPMJ,SZTDAY,SZUPMT,SZPRGF,SZSCCLTP,SZPA8,SZTICKER,SZEXCHG,SZDUNS,SZCLASS01,SZCLASS02,SZCLASS03,SZCLASS04,SZCLASS05,SZNOE,SZGROWTHR,SZYEARSTAR,SZAEMPGP,SZACTIN,SZREVRNG
808718,1284306966,1,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,14426-DN            ,                    ,PIZZA HUT STORE #14426                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,2567 S SHIELDS ST                       ,STE B-D                                 ,                                        ,                                        ,80526,FORT COLLINS             ,US ,CO ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,10,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,11414-DN            ,                    ,PIZZA HUT STORE #11414                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,779 N DUPONT HWY                        ,                                        ,                                        ,                                        ,19901,DOVER                    ,US ,DE ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,11,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,11420-DN            ,                    ,PIZZA HUT STORE #11420                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,19068 COASTAL HWY                       ,                                        ,                                        ,                                        ,19971,REHOBOTH BEACH           ,US ,DE ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,12,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,4282-DN             ,                    ,PIZZA HUT STORE #4282                   ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,1050 N PONCE DE LEON BLVD               ,                                        ,                                        ,                                        ,32084,SAINT AUGUSTINE          ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,13,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,26535-DN            ,                    ,PIZZA HUT STORE #26535                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,500 S ATLANTIC AVE                      ,                                        ,                                        ,                                        ,32118,DAYTONA BEACH            ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,14,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,26496-DN            ,                    ,PIZZA HUT STORE #26496                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,432 S ATLANTIC AVE                      ,                                        ,                                        ,                                        ,32176,ORMOND BEACH             ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,15,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,622018-DN           ,                    ,PIZZA HUT STORE #622018                 ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,5421 ROOSEVELT BLVD                     ,                                        ,                                        ,                                        ,32210,JACKSONVILLE             ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,16,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,622071-DN           ,                    ,PIZZA HUT STORE #622071                 ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,1141 DUNN AVE                           ,                                        ,                                        ,                                        ,32218,JACKSONVILLE             ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,17,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,622022-DN           ,                    ,PIZZA HUT STORE #622022                 ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,7939 NORMANDY BLVD                      ,                                        ,                                        ,                                        ,32221,JACKSONVILLE             ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,18,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,14358-DN            ,                    ,PIZZA HUT STORE #14358                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,1710 W TENNESSEE ST                     ,                                        ,                                        ,                                        ,32304,TALLAHASSEE              ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,19,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,30532-DN            ,                    ,PIZZA HUT STORE #30532                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,1244 S JEFFERSON ST                     ,                                        ,                                        ,                                        ,32344,MONTICELLO               ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,2,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,14420-DN            ,                    ,PIZZA HUT STORE #14420                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,450 DENVER AVE                          ,                                        ,                                        ,                                        ,80621,FORT LUPTON              ,US ,CO ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,20,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,13030-DN            ,                    ,PIZZA HUT STORE #13030                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,1606 W JEFFERSON ST                     ,                                        ,                                        ,                                        ,32351,QUINCY                   ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,21,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,12707-DN            ,                    ,PIZZA HUT STORE #12707                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,938 W CENTRAL AVE                       ,                                        ,                                        ,                                        ,32424,BLOUNTSTOWN              ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,22,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,13369-DN            ,                    ,PIZZA HUT STORE #13369                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,2117 S WAUKESHA ST                      ,                                        ,                                        ,                                        ,32425,BONIFAY                  ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,23,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,13367-DN            ,                    ,PIZZA HUT STORE #13367                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,1329 MAIN ST                            ,                                        ,                                        ,                                        ,32428,CHIPLEY                  ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,24,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,14408-DN            ,                    ,PIZZA HUT STORE #14408                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,2185 POST OAK LN                        ,                                        ,                                        ,                                        ,32448,MARIANNA                 ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,25,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,12719-DN            ,                    ,PIZZA HUT STORE #12719                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,5960 PENSACOLA BLVD                     ,                                        ,                                        ,                                        ,32505,PENSACOLA                ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,26,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,26270-DN            ,                    ,PIZZA HUT STORE #26270                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,141 MIRACLE STRIP PKWY SW               ,                                        ,                                        ,                                        ,32548,FT WALTON BCH            ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,27,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,31182-DN            ,                    ,PIZZA HUT STORE #31182                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,8692 NAVARRE PKWY                       ,NAVARRE SQUARE                          ,                                        ,                                        ,32566,NAVARRE                  ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,28,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,12726-DN            ,                    ,PIZZA HUT STORE #12726                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,6465 HIGHWAY 90                         ,                                        ,                                        ,                                        ,32570,MILTON                   ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,29,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,27917-DN            ,                    ,PIZZA HUT STORE #27917                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,15947 NW US HIGHWAY 441                 ,                                        ,                                        ,                                        ,32615,ALACHUA                  ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,3,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,14421-DN            ,                    ,PIZZA HUT STORE #14421                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,2439 W 10TH ST                          ,                                        ,                                        ,                                        ,80634,GREELEY                  ,US ,CO ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,30,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,24428-DN            ,                    ,PIZZA HUT STORE #24428                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,1105 N YOUNG BLVD                       ,                                        ,                                        ,                                        ,32626,CHIEFLAND                ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,31,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,29922-DN            ,                    ,PIZZA HUT STORE #29922                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,23 E NOBLE AVE                          ,                                        ,                                        ,                                        ,32696,WILLISTON                ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,32,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,26504-DN            ,                    ,PIZZA HUT STORE #26504                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,883 SEMORAN BLVD                        ,                                        ,                                        ,                                        ,32703,APOPKA                   ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
808718,1284306966,33,1,  ,        ,          ,0,0,NULL, ,Rollout        ,A ,NULL,26533-DN            ,                    ,PIZZA HUT STORE #26533                  ,                                        ,            ,          ,EN,S3 ,  ,C,N, , ,Y, ,N, , ,N, ,120160,NULL,60000487,60000487,NULL,NULL,60000487,SUW,SUW,   ,   ,A  ,   ,   ,DN ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,        ,NULL,NULL,N,NULL,                    ,                    ,                                        ,  ,0,0,0,               ,                                        ,                                        ,1403 N WOODLAND BLVD                    ,                                        ,                                        ,                                        ,32720,DELAND                   ,US ,FL ,                         ,      ,                    ,    ,      ,                    ,    ,          ,          ,          ,          ,0,0,0,N,  ,60000487,          ,          ,             ,   ,   ,   ,   ,   ,0,0,               ,     , ,     
